code,locale,title,has_image,has_desc,has_prices,issues
140,it,Tour – 140 – it,true,true,true,legacy_title_format
155,en,Tour – 155 – en,true,true,true,legacy_title_format|contains_no_image
155,fr,Tour – 155 – fr,true,true,true,legacy_title_format
155,de,Tour – 155 – de,true,true,true,legacy_title_format
155,es,Tour – 155 – es,true,true,true,legacy_title_format
155,it,Tour – 155 – it,true,true,true,legacy_title_format
165,en,Tour – 165 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
165,fr,Tour – 165 – fr,true,true,false,missing_prices_table|legacy_title_format
165,de,Tour – 165 – de,true,true,false,missing_prices_table|legacy_title_format
165,es,Tour – 165 – es,true,true,false,missing_prices_table|legacy_title_format
165,it,Tour – 165 – it,true,true,false,missing_prices_table|legacy_title_format
166,en,Tour – 166 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
166,fr,Tour – 166 – fr,true,true,false,missing_prices_table|legacy_title_format
166,de,Tour – 166 – de,true,true,false,missing_prices_table|legacy_title_format
166,es,Tour – 166 – es,true,true,false,missing_prices_table|legacy_title_format
166,it,Tour – 166 – it,true,true,false,missing_prices_table|legacy_title_format
167,en,Tour – 167 – en,true,true,true,legacy_title_format|contains_no_image
167,fr,Tour – 167 – fr,true,true,true,legacy_title_format
167,de,Tour – 167 – de,true,true,true,legacy_title_format
167,es,Tour – 167 – es,true,true,true,legacy_title_format
167,it,Tour – 167 – it,true,true,true,legacy_title_format
168,en,Tour – 168 – en,true,true,true,legacy_title_format|contains_no_image
168,fr,Tour – 168 – fr,true,true,true,legacy_title_format
168,de,Tour – 168 – de,true,true,true,legacy_title_format
168,es,Tour – 168 – es,true,true,true,legacy_title_format
168,it,Tour – 168 – it,true,true,true,legacy_title_format
169,en,Tour – 169 – en,true,true,true,legacy_title_format|contains_no_image
169,fr,Tour – 169 – fr,true,true,true,legacy_title_format
169,de,Tour – 169 – de,true,true,true,legacy_title_format
169,es,Tour – 169 – es,true,true,true,legacy_title_format
169,it,Tour – 169 – it,true,true,true,legacy_title_format
175,en,Tour – 175 – en,true,true,true,legacy_title_format|contains_no_image
175,fr,Tour – 175 – fr,true,true,true,legacy_title_format
175,de,Tour – 175 – de,true,true,true,legacy_title_format
175,es,Tour – 175 – es,true,true,true,legacy_title_format
175,it,Tour – 175 – it,true,true,true,legacy_title_format
180,en,Tour – 180 – en,true,true,true,legacy_title_format|contains_no_image
180,fr,Tour – 180 – fr,true,true,true,legacy_title_format
180,de,Tour – 180 – de,true,true,true,legacy_title_format
180,es,Tour – 180 – es,true,true,true,legacy_title_format
180,it,Tour – 180 – it,true,true,true,legacy_title_format
186,en,Tour – 186 – en,true,true,true,legacy_title_format|contains_no_image
186,fr,Tour – 186 – fr,true,true,true,legacy_title_format
186,de,Tour – 186 – de,true,true,true,legacy_title_format
186,es,Tour – 186 – es,true,true,true,legacy_title_format
186,it,Tour – 186 – it,true,true,true,legacy_title_format
189,en,Tour – 189 – en,true,true,false,missing_prices_table|legacy_title_format|contains_no_image
189,fr,Tour – 189 – fr,true,true,false,missing_prices_table|legacy_title_format
189,de,Tour – 189 – de,true,true,false,missing_prices_table|legacy_title_format
189,es,Tour – 189 – es,true,true,false,missing_prices_table|legacy_title_format
189,it,Tour – 189 – it,true,true,false,missing_prices_table|legacy_title_format
200,en,Tour – 200 – en,true,true,true,legacy_title_format|contains_no_image
200,fr,Tour – 200 – fr,true,true,true,legacy_title_format
200,de,Tour – 200 – de,true,true,true,legacy_title_format
200,es,Tour – 200 – es,true,true,true,legacy_title_format
200,it,Tour – 200 – it,true,true,true,legacy_title_format
208,en,Tour – 208 – en,true,true,true,legacy_title_format|contains_no_image
208,fr,Tour – 208 – fr,true,true,true,legacy_title_format
208,de,Tour – 208 – de,true,true,true,legacy_title_format
208,es,Tour – 208 – es,true,true,true,legacy_title_format
208,it,Tour – 208 – it,true,true,true,legacy_title_format
210,en,Tour – 210 – en,true,true,true,legacy_title_format|contains_no_image
210,fr,Tour – 210 – fr,true,true,true,legacy_title_format
